id,time,temp,wv,humi
108,2022-02-08 00:01,-1.9,.6,58.7
108,2022-02-08 00:02,-1.9,.7,58.1
108,2022-02-08 00:03,-2,1,57.8
108,2022-02-08 00:04,-2,1.2,58.4
108,2022-02-08 00:05,-2,1,58.2
108,2022-02-08 00:06,-2,1.3,59.2
108,2022-02-08 00:07,-2,1.3,58.9
108,2022-02-08 00:08,-1.9,1.1,59.4
108,2022-02-08 00:09,-1.9,1.4,59
108,2022-02-08 00:10,-1.9,1.2,58.9
108,2022-02-08 00:11,-2,.9,58.9
108,2022-02-08 00:12,-1.9,.5,59.1
108,2022-02-08 00:13,-2,.4,58.9
108,2022-02-08 00:14,-2,.4,59.1
108,2022-02-08 00:15,-2,.2,58.7
108,2022-02-08 00:16,-2,.3,59
108,2022-02-08 00:17,-2,.4,58.9
108,2022-02-08 00:18,-2,.3,59
108,2022-02-08 00:19,-2,0,59.2
108,2022-02-08 00:21,-2,.5,58.4
108,2022-02-08 00:22,-2,.8,58.4
108,2022-02-08 00:23,-2.1,.8,58.3
108,2022-02-08 00:24,-2.1,.8,59.1
108,2022-02-08 00:25,-2.1,1.2,58.9
108,2022-02-08 00:26,-2.1,1.1,59
108,2022-02-08 00:27,-2.1,.8,59
108,2022-02-08 00:28,-2.1,.8,58.9
108,2022-02-08 00:29,-2.1,.5,58.5
108,2022-02-08 00:30,-2.1,0,58.6
108,2022-02-08 00:31,-2.1,0,58.9
108,2022-02-08 00:32,-2.2,0,58.6
108,2022-02-08 00:33,-2.2,0,58.7
108,2022-02-08 00:34,-2.2,.2,59.3
108,2022-02-08 00:35,-2.2,.4,59.6
108,2022-02-08 00:36,-2.2,.9,60.1
108,2022-02-08 00:37,-2.2,.8,60.9
108,2022-02-08 00:38,-2.3,.8,60.6
108,2022-02-08 00:39,-2.3,.7,60.6
108,2022-02-08 00:40,-2.3,.8,60.6
108,2022-02-08 00:41,-2.3,1,60.5
108,2022-02-08 00:42,-2.3,1.3,60.7
108,2022-02-08 00:43,-2.3,1.6,61
108,2022-02-08 00:44,-2.3,1.5,61.1
108,2022-02-08 00:45,-2.3,1.5,61.3
108,2022-02-08 00:46,-2.3,1.5,61.4
108,2022-02-08 00:47,-2.3,1.6,60.8
108,2022-02-08 00:48,-2.4,1.7,61.2
108,2022-02-08 00:49,-2.4,1.6,61.3
108,2022-02-08 00:50,-2.4,1.6,61
108,2022-02-08 00:51,-2.4,1.6,61.5
108,2022-02-08 00:52,-2.4,1.5,60.5
108,2022-02-08 00:53,-2.4,1.1,60.7
108,2022-02-08 00:54,-2.5,1.1,60
108,2022-02-08 00:55,-2.5,.8,60.2
108,2022-02-08 00:56,-2.5,.8,60.2
108,2022-02-08 00:57,-2.5,.9,60.4
108,2022-02-08 00:58,-2.5,1,60.3
108,2022-02-08 00:59,-2.5,1,59.6
108,2022-02-08 01:00,-2.5,.8,59.3
108,2022-02-08 01:01,-2.5,.8,59
108,2022-02-08 01:02,-2.5,.7,59.8
108,2022-02-08 01:03,-2.5,.5,59.8
108,2022-02-08 01:04,-2.6,.6,60.5
108,2022-02-08 01:05,-2.6,.6,60.1
108,2022-02-08 01:06,-2.6,.7,60.8
108,2022-02-08 01:07,-2.6,.8,60.1
108,2022-02-08 01:08,-2.6,.9,60.3
108,2022-02-08 01:09,-2.7,1,60.5
108,2022-02-08 01:10,-2.7,.9,61.4
